,"(mm) Grass Reference ET (URMA) at -120.2609E,39.4333N, 1985-10-01 to 2025-11-01"
"2005-01-18",0.8687
"2005-01-19",1.348
"2005-01-20",1.6071
"2005-01-21",1.0892
"2005-01-22",1.4023
"2005-01-23",1.3592
"2005-01-24",1.0914
"2005-01-25",0.4033
"2005-01-26",0.3522
"2005-01-27",0.8451
"2005-01-28",0.5872
"2005-01-29",0.8242
"2005-01-30",1.1332
"2005-01-31",1.3548
"2005-02-01",1.6958
"2005-02-02",1.5181
"2005-02-03",1.7347
"2005-02-04",1.5724
"2005-02-05",1.4261
"2005-02-06",1.0183
"2005-02-07",0.6561
"2005-02-08",0.7377
"2005-02-09",0.8744
"2005-02-10",1.3399
"2005-02-11",0.9328
"2005-02-12",1.3029
"2005-02-13",0.8749
"2005-02-14",0.5111
"2005-02-15",0.4147
"2005-02-16",0.4809
"2005-02-17",0.9654
"2005-02-18",0.6152
"2005-02-19",1.0608
"2005-02-20",0.7542
"2005-02-21",0.6586
"2005-02-22",0.8652
"2005-02-23",1.441
"2005-02-24",1.5814
"2005-02-25",1.316
"2005-02-26",1.2813
"2005-02-27",1.1948
"2005-02-28",1.4963
"2005-03-01",1.3638
"2005-03-02",1.1217
"2005-03-03",1.497
"2005-03-04",1.4532
"2005-03-05",2.3864
"2005-03-06",2.3222
"2005-03-07",2.2634
"2005-03-08",2.5802
"2005-03-09",2.8441
"2005-03-10",2.9101
"2005-03-11",3.238
"2005-03-12",3.1866
"2005-03-13",2.6075
"2005-03-14",2.6778
"2005-03-15",2.5629
"2005-03-16",1.9758
"2005-03-17",2.2866
"2005-03-18",1.4738
"2005-03-19",0.572
"2005-03-20",0.6661
"2005-03-21",1.015
"2005-03-22",0.6635
"2005-03-23",0.8226
"2005-03-24",1.3664
"2005-03-25",2.0547
"2005-03-26",2.0383
"2005-03-27",1.8834
"2005-03-28",1.4684
"2005-03-29",0.8801
"2005-03-30",2.4724
"2005-03-31",3.0298
"2005-04-01",3.4913
"2005-04-02",3.1798
"2005-04-03",1.0104
"2005-04-04",2.2114
"2005-04-05",3.2238
"2005-04-06",3.752
"2005-04-07",1.5748
"2005-04-08",0.8013
"2005-04-09",2.059
"2005-04-10",2.7385
"2005-04-11",3.1755
"2005-04-12",3.3833
"2005-04-13",2.4572
"2005-04-14",2.544
"2005-04-15",2.9934
"2005-04-16",4.1133
"2005-04-17",2.5415
"2005-04-18",1.8195
"2005-04-19",1.8258
"2005-04-20",2.2526
"2005-04-21",3.2558
"2005-04-22",3.3509
"2005-04-23",1.7502
"2005-04-24",1.4419
"2005-04-25",2.8397
"2005-04-26",3.0711
"2005-04-27",1.6427
"2005-04-28",1.7025
"2005-04-29",2.9436
"2005-04-30",2.2389
"2005-05-01",1.8897
"2005-05-02",2.8948
"2005-05-03",3.0756
"2005-05-04",2.5067
"2005-05-05",1.3443
"2005-05-06",1.3633
"2005-05-07",2.9341
"2005-05-08",1.3899
"2005-05-09",1.6561
"2005-05-10",1.9274
"2005-05-11",2.9815
"2005-05-12",3.4103
"2005-05-13",4.0274
"2005-05-14",4.5687
"2005-05-15",2.2371
"2005-05-16",1.465
"2005-05-17",2.2541
"2005-05-18",1.0916
"2005-05-19",1.7047
"2005-05-20",3.2546
"2005-05-21",4.6528
"2005-05-22",5.133
"2005-05-23",5.2382
"2005-05-24",4.8612
"2005-05-25",5.3092
"2005-05-26",5.4942
"2005-05-27",5.5394
"2005-05-28",5.2884
"2005-05-29",4.0401
"2005-05-30",4.1596
"2005-05-31",4.9315
"2005-06-01",4.879
"2005-06-02",4.2826
"2005-06-03",4.732
"2005-06-04",4.9106
"2005-06-05",4.5169
"2005-06-06",3.076
"2005-06-07",3.5064
"2005-06-08",1.8726
"2005-06-09",2.7186
"2005-06-10",3.3801
"2005-06-11",4.3577
"2005-06-12",4.9346
"2005-06-13",5.4761
"2005-06-14",5.9354
"2005-06-15",5.5387
"2005-06-16",4.7064
"2005-06-17",1.9186
"2005-06-18",2.513
"2005-06-19",4.081
"2005-06-20",5.3786
"2005-06-21",5.6792
"2005-06-22",6.0605
"2005-06-23",5.4676
"2005-06-24",5.141
"2005-06-25",5.2144
"2005-06-26",4.9247
"2005-06-27",5.5921
"2005-06-28",5.3618
"2005-06-29",5.4495
"2005-06-30",5.8886
"2005-07-01",6.306
"2005-07-02",6.5726
"2005-07-03",6.1642
"2005-07-04",5.9049
"2005-07-05",5.4875
"2005-07-06",6.0709
"2005-07-07",6.1405
"2005-07-08",6.519
"2005-07-09",5.0909
"2005-07-10",5.6551
"2005-07-11",5.8947
"2005-07-12",6.2678
"2005-07-13",6.3769
"2005-07-14",6.3615
"2005-07-15",6.2314
"2005-07-16",6.5278
"2005-07-17",6.0772
"2005-07-18",6.099
"2005-07-19",5.8087
"2005-07-20",6.2396
"2005-07-21",5.0937
"2005-07-22",6.2385
"2005-07-23",6.6585
"2005-07-24",6.5291
"2005-07-25",5.662
"2005-07-26",6.0232
"2005-07-27",6.413
"2005-07-28",5.3764
"2005-07-29",5.4964
"2005-07-30",5.4217
"2005-07-31",5.3863
"2005-08-01",5.8816
"2005-08-02",5.3862
"2005-08-03",5.5061
"2005-08-04",5.7285
"2005-08-05",5.4945
"2005-08-06",5.2505
"2005-08-07",4.1581
"2005-08-08",5.0076
"2005-08-09",5.2799
"2005-08-10",5.649
"2005-08-11",5.5869
"2005-08-12",5.8971
"2005-08-13",5.0298
"2005-08-14",5.2114
"2005-08-15",3.6475
"2005-08-16",4.1241
"2005-08-17",4.8758
"2005-08-18",5.1127
"2005-08-19",4.8713
"2005-08-20",4.9675
"2005-08-21",5.3263
"2005-08-22",5.2643
"2005-08-23",5.8746
"2005-08-24",5.8056
"2005-08-25",5.3028
"2005-08-26",5.345
"2005-08-27",4.5326
"2005-08-28",5.5004
"2005-08-29",6.6392
"2005-08-30",4.7193
"2005-08-31",4.2076
"2005-09-01",4.8436
"2005-09-02",5.5276
"2005-09-03",4.9493
"2005-09-04",4.7043
"2005-09-05",4.4201
"2005-09-06",4.5559
"2005-09-07",4.3417
"2005-09-08",3.6216
"2005-09-09",3.484
"2005-09-10",2.8215
"2005-09-11",2.8139
"2005-09-12",3.3455
"2005-09-13",3.3764
"2005-09-14",3.5057
"2005-09-15",3.793
"2005-09-16",3.8561
"2005-09-17",3.0104
"2005-09-18",3.1787
"2005-09-19",3.7566
"2005-09-20",3.2633
"2005-09-21",3.4543
"2005-09-22",3.9083
"2005-09-23",3.5078
"2005-09-24",2.6535
"2005-09-25",3.3587
"2005-09-26",2.0902
"2005-09-27",2.2944
"2005-09-28",3.3882
"2005-09-29",3.0281
"2005-09-30",3.7276
"2005-10-01",4.0991
"2005-10-02",2.5319
"2005-10-03",2.4834
"2005-10-04",2.4375
"2005-10-05",2.8943
"2005-10-06",3.2065
"2005-10-07",3.3727
"2005-10-08",2.7268
"2005-10-09",3.0095
"2005-10-10",2.7193
"2005-10-11",2.6841
"2005-10-12",2.5799
"2005-10-13",2.7135
"2005-10-14",3.886
"2005-10-15",1.9152
"2005-10-16",2.6059
"2005-10-17",2.5458
"2005-10-18",2.3082
"2005-10-19",2.2315
"2005-10-20",2.0706
"2005-10-21",2.3518
"2005-10-22",2.2312
"2005-10-23",2.045
"2005-10-24",2.2048
"2005-10-25",1.7703
"2005-10-26",0.9207
"2005-10-27",1.0314
"2005-10-28",0.9769
"2005-10-29",1.0874
"2005-10-30",1.3021
"2005-10-31",1.8703
"2005-11-01",2.7978
"2005-11-02",1.8871
"2005-11-03",1.2278
"2005-11-04",0.9182
"2005-11-05",1.3614
"2005-11-06",1.4181
"2005-11-07",1.0133
"2005-11-08",1.124
"2005-11-09",1.5027
"2005-11-10",1.5374
"2005-11-11",1.3239
"2005-11-12",1.0765
"2005-11-13",1.1993
"2005-11-14",1.3273
"2005-11-15",1.3628
"2005-11-16",1.4995
"2005-11-17",1.6314
"2005-11-18",1.6878
"2005-11-19",1.42
"2005-11-20",1.1342
"2005-11-21",1.2303
"2005-11-22",1.2378
"2005-11-23",1.1173
"2005-11-24",1.3276
"2005-11-25",0.6421
"2005-11-26",0.7745
"2005-11-27",0.5562
"2005-11-28",0.4189
"2005-11-29",0.4235
"2005-11-30",0.7723
"2005-12-01",0.4649
"2005-12-02",0.7193
"2005-12-03",0.847
"2005-12-04",0.8395
"2005-12-05",0.7856
"2005-12-06",0.9339
"2005-12-07",0.3814
"2005-12-08",0.3253
"2005-12-09",0.3979
"2005-12-10",0.7594
"2005-12-11",0.5933
"2005-12-12",0.8606
"2005-12-13",1.0897
"2005-12-14",0.3628
"2005-12-15",0.693
"2005-12-16",0.9448
"2005-12-17",0.6475
"2005-12-18",0.2345
"2005-12-19",0.4887
"2005-12-20",1.7659
"2005-12-21",0.9173
"2005-12-22",0.3567
"2005-12-23",0.7403
"2005-12-24",1.537
"2005-12-25",1.3152
"2005-12-26",0.4885
"2005-12-27",0.6799
"2005-12-28",0.3455
"2005-12-29",0.4266
"2005-12-30",0.4576
"2005-12-31",0.3634
"2006-01-01",0.8386
"2006-01-02",0.1808
"2006-01-03",0.5001
"2006-01-04",0.7254
"2006-01-05",1.1453
"2006-01-06",2.0784
"2006-01-07",0.9266
"2006-01-08",0.9241
"2006-01-09",1.0865
"2006-01-10",1.6049
"2006-01-11",0.6043
"2006-01-12",0.7356
"2006-01-13",1.8551
"2006-01-14",0.5317
"2006-01-15",0.6046
"2006-01-16",0.3718
"2006-01-17",0.5713
"2006-01-18",0.3674
"2006-01-19",0.7459
"2006-01-20",0.612
"2006-01-21",0.7955
"2006-01-22",1.0157
"2006-01-23",1.3969
"2006-01-24",1.5257
"2006-01-25",1.5145
"2006-01-26",0.8526
"2006-01-27",0.7977
"2006-01-28",0.4645
"2006-01-29",0.9443
"2006-01-30",0.5116
"2006-01-31",0.6717
"2006-02-01",0.54
"2006-02-02",0.7781
"2006-02-03",1.3587
"2006-02-04",0.9359
"2006-02-05",1.4557
"2006-02-06",1.577
"2006-02-07",1.8205
"2006-02-08",1.8991
"2006-02-09",1.7649
"2006-02-10",1.7785
"2006-02-11",1.3396
"2006-02-12",1.9647
"2006-02-13",2.058
"2006-02-14",2.0396
"2006-02-15",0.7872
"2006-02-16",1.0957
"2006-02-17",0.5657
"2006-02-18",0.7465
"2006-02-19",0.5866
"2006-02-20",1.3498
"2006-02-21",1.6234
"2006-02-22",2.0987
"2006-02-23",1.9709
"2006-02-24",2.0203
"2006-02-25",2.2995
"2006-02-26",2.3167
"2006-02-27",0.6673
"2006-02-28",0.4876
"2006-03-01",1.357
"2006-03-02",0.7067
"2006-03-03",0.5712
"2006-03-04",1.245
"2006-03-05",1.534
"2006-03-06",0.9724
"2006-03-07",0.9431
"2006-03-08",1.5983
"2006-03-09",1.0115
"2006-03-10",0.8158
"2006-03-11",0.774
"2006-03-12",0.6768
"2006-03-13",1.07
"2006-03-14",0.7453
"2006-03-15",0.9886
"2006-03-16",1.1865
"2006-03-17",1.1468
"2006-03-18",1.3318
"2006-03-19",1.5104
"2006-03-20",0.8186
"2006-03-21",1.3488
"2006-03-22",2.2736
"2006-03-23",2.786
"2006-03-24",2.0532
"2006-03-25",0.6539
"2006-03-26",2.1371
"2006-03-27",2.2691
"2006-03-28",0.9656
"2006-03-29",1.4088
"2006-03-30",1.5095
"2006-03-31",1.2859
"2006-04-01",1.3251
"2006-04-02",1.3245
"2006-04-03",1.0752
"2006-04-04",0.9383
"2006-04-05",1.4903
"2006-04-06",2.378
"2006-04-07",2.8761
"2006-04-08",1.4916
"2006-04-09",1.4742
"2006-04-10",1.3299
"2006-04-11",1.1327
"2006-04-12",1.9641
"2006-04-13",3.4884
"2006-04-14",1.8931
"2006-04-15",1.3203
"2006-04-16",0.7337
"2006-04-17",1.9525
"2006-04-18",2.9468
"2006-04-19",3.6251
"2006-04-20",3.8976
"2006-04-21",2.2025
"2006-04-22",1.9788
"2006-04-23",1.7551
"2006-04-24",2.3527
"2006-04-25",2.0944
"2006-04-26",3.3888
"2006-04-27",4.4203
"2006-04-28",4.5822
"2006-04-29",4.193
"2006-04-30",3.9916
"2006-05-01",4.5043
"2006-05-02",4.1161
"2006-05-03",3.1264
"2006-05-04",4.2384
"2006-05-05",4.2258
"2006-05-06",3.7331
"2006-05-07",3.9515
"2006-05-08",4.1399
"2006-05-09",4.4527
"2006-05-10",4.4572
"2006-05-11",4.8256
"2006-05-12",5.067
"2006-05-13",4.933
"2006-05-14",4.839
"2006-05-15",3.9017
"2006-05-16",4.5243
"2006-05-17",4.7006
"2006-05-18",4.8402
"2006-05-19",3.6952
"2006-05-20",3.4869
"2006-05-21",1.9387
"2006-05-22",1.8107
"2006-05-23",2.4049
"2006-05-24",4.0958
"2006-05-25",4.665
"2006-05-26",3.4733
"2006-05-27",1.8266
"2006-05-28",3.2316
"2006-05-29",3.8955
"2006-05-30",4.4302
"2006-05-31",5.1215
"2006-06-01",5.0965
"2006-06-02",3.8455
"2006-06-03",4.8205
"2006-06-04",4.6458
"2006-06-05",5.5947
"2006-06-06",5.0967
"2006-06-07",4.8214
"2006-06-08",4.8
"2006-06-09",5.0291
"2006-06-10",4.6031
"2006-06-11",4.4174
"2006-06-12",4.3192
"2006-06-13",2.5044
"2006-06-14",3.4792
"2006-06-15",4.6299
"2006-06-16",5.5668
"2006-06-17",5.673
"2006-06-18",5.9696
"2006-06-19",5.8566
"2006-06-20",5.7608
"2006-06-21",5.7303
"2006-06-22",5.995
"2006-06-23",5.8948
"2006-06-24",5.6615
"2006-06-25",5.5394
"2006-06-26",5.0659
"2006-06-27",4.4351
"2006-06-28",2.8527
"2006-06-29",5.2065
"2006-06-30",4.7429
"2006-07-01",5.7456
"2006-07-02",5.7348
"2006-07-03",5.98
"2006-07-04",5.1251
"2006-07-05",5.7768
"2006-07-06",5.6063
"2006-07-07",5.7076
"2006-07-08",4.6533
"2006-07-09",5.1847
"2006-07-10",5.8453
"2006-07-11",6.1809
"2006-07-12",6.3237
"2006-07-13",5.837
"2006-07-14",6.0073
"2006-07-15",6.0507
"2006-07-16",6.0931
"2006-07-17",5.9707
"2006-07-18",6.1563
"2006-07-19",4.8672
"2006-07-20",5.7664
"2006-07-21",4.0935
"2006-07-22",5.7029
"2006-07-23",5.1339
"2006-07-24",5.3879
"2006-07-25",5.8754
"2006-07-26",6.0481
"2006-07-27",6.0103
"2006-07-28",6.1769
"2006-07-29",5.8882
"2006-07-30",5.4962
"2006-07-31",4.5865
"2006-08-01",4.9584
"2006-08-02",5.2576
"2006-08-03",5.3398
"2006-08-04",4.8512
"2006-08-05",4.9994
"2006-08-06",4.5402
"2006-08-07",4.6822
"2006-08-08",5.0507
"2006-08-09",5.1826
"2006-08-10",5.7103
"2006-08-11",5.4968
"2006-08-12",5.0724
"2006-08-13",5.0549
"2006-08-14",5.0369
"2006-08-15",4.9192
"2006-08-16",5.1681
"2006-08-17",4.802
"2006-08-18",4.9786
"2006-08-19",4.6958
"2006-08-20",4.667
"2006-08-21",5.3163
"2006-08-22",5.7151
"2006-08-23",6.087
"2006-08-24",4.7921
"2006-08-25",4.7285
"2006-08-26",4.5487
"2006-08-27",4.8813
"2006-08-28",5.0244
"2006-08-29",4.7542
"2006-08-30",4.7362
"2006-08-31",4.474
"2006-09-01",4.8015
"2006-09-02",3.8881
"2006-09-03",4.3524
"2006-09-04",4.5343
"2006-09-05",4.9637
"2006-09-06",4.7554
"2006-09-07",4.1788
"2006-09-08",4.4848
"2006-09-09",4.0593
"2006-09-10",4.0692
"2006-09-11",4.2138
"2006-09-12",4.2838
"2006-09-13",4.1588
"2006-09-14",3.9097
"2006-09-15",1.5949
"2006-09-16",2.9545
"2006-09-17",3.541
"2006-09-18",3.8878
"2006-09-19",4.0501
"2006-09-20",2.7823
"2006-09-21",3.1818
"2006-09-22",2.74
"2006-09-23",3.3625
"2006-09-24",3.421
"2006-09-25",3.4946
"2006-09-26",3.4862
"2006-09-27",3.3847
"2006-09-28",3.5215
"2006-09-29",3.698
"2006-09-30",3.6082
"2006-10-01",3.3668
"2006-10-02",1.6106
"2006-10-03",2.1681
"2006-10-04",2.0635
"2006-10-05",0.9235
"2006-10-06",1.5381
"2006-10-07",1.7656
"2006-10-08",2.418
"2006-10-09",2.3838
"2006-10-10",1.6218
"2006-10-11",2.4656
"2006-10-12",2.7133
"2006-10-13",2.9466
"2006-10-14",2.3881
"2006-10-15",2.3201
"2006-10-16",1.3903
"2006-10-17",1.2616
"2006-10-18",2.011
"2006-10-19",2.3423
"2006-10-20",2.2094
"2006-10-21",2.126
"2006-10-22",2.2292
"2006-10-23",2.2577
"2006-10-24",2.1587
"2006-10-25",1.8746
"2006-10-26",2.1674
"2006-10-27",2.2082
"2006-10-28",2.4538
"2006-10-29",2.4528
"2006-10-30",2.4626
"2006-10-31",2.1533
"2006-11-01",1.2276
"2006-11-02",0.7166
"2006-11-03",0.5346
"2006-11-04",0.7027
"2006-11-05",1.2441
"2006-11-06",1.1273
"2006-11-07",1.993
"2006-11-08",0.8449
"2006-11-09",1.3499
"2006-11-10",1.4934
"2006-11-11",0.7044
"2006-11-12",1.083
"2006-11-13",0.6607
"2006-11-14",0.7317
"2006-11-15",1.532
"2006-11-16",0.8956
"2006-11-17",0.9225
"2006-11-18",1.1756
"2006-11-19",1.8091
"2006-11-20",2.2354
"2006-11-21",1.1939
"2006-11-22",1.2449
"2006-11-23",0.925
"2006-11-24",0.8006
"2006-11-25",0.8972
"2006-11-26",0.4871
"2006-11-27",0.3629
"2006-11-28",0.3552
"2006-11-29",0.8425
"2006-11-30",0.943
"2006-12-01",0.7266
"2006-12-02",0.7266
"2006-12-03",1.0394
"2006-12-04",0.9965
"2006-12-05",1.1244
"2006-12-06",1.2721
"2006-12-07",1.5923
"2006-12-08",1.6762
"2006-12-09",0.5877
"2006-12-10",0.3991
"2006-12-11",0.398
"2006-12-12",0.4274
"2006-12-13",0.3117
"2006-12-14",0.5503
"2006-12-15",0.3559
"2006-12-16",0.3776
"2006-12-17",0.3815
"2006-12-18",0.8539
"2006-12-19",0.9456
"2006-12-20",0.8298
"2006-12-21",0.3171
"2006-12-22",0.6571
"2006-12-23",0.3957
"2006-12-24",0.4709
"2006-12-25",2.1095
"2006-12-26",1.2578
"2006-12-27",0.4113
"2006-12-28",0.7033
"2006-12-29",0.8267
"2006-12-30",0.7452
"2006-12-31",0.6001
"2007-01-01",0.8708
"2007-01-02",0.749
"2007-01-03",1.3121
"2007-01-04",0.248
"2007-01-05",0.6133
"2007-01-06",0.867
"2007-01-07",0.9947
"2007-01-08",1.2859
"2007-01-09",1.3416
"2007-01-10",1.3665
"2007-01-11",0.6288
"2007-01-12",0.4426
"2007-01-13",0.7949
"2007-01-14",0.7751
"2007-01-15",0.984
"2007-01-16",1.2632
"2007-01-17",1.0007
"2007-01-18",1.2004
"2007-01-19",1.191
"2007-01-20",0.9854
"2007-01-21",1.0262
"2007-01-22",1.2591
"2007-01-23",1.3416
"2007-01-24",1.9311
"2007-01-25",1.6103
"2007-01-26",1.2127
"2007-01-27",1.1689
"2007-01-28",1.1544
"2007-01-29",1.2851
"2007-01-30",1.3051
"2007-01-31",1.2183
"2007-02-01",1.5266
"2007-02-02",1.2142
"2007-02-03",1.6141
"2007-02-04",1.8728
"2007-02-05",1.5732
"2007-02-06",2.5502
"2007-02-07",1.1702
"2007-02-08",0.7445
"2007-02-09",0.7066
"2007-02-10",0.5575
"2007-02-11",0.7063
"2007-02-12",0.741
"2007-02-13",0.8376
"2007-02-14",1.335
"2007-02-15",1.3945
"2007-02-16",1.4629
"2007-02-17",1.9782
"2007-02-18",1.3157
"2007-02-19",1.3885
"2007-02-20",1.8759
"2007-02-21",1.7775
"2007-02-22",0.6912
"2007-02-23",0.714
"2007-02-24",0.85
"2007-02-25",0.5414
"2007-02-26",0.5369
"2007-02-27",0.7489
"2007-02-28",0.6979
"2007-03-01",0.8997
"2007-03-02",1.6239
"2007-03-03",1.9336
"2007-03-04",1.969
"2007-03-05",1.6813
"2007-03-06",2.2636
"2007-03-07",1.8144
"2007-03-08",1.9591
"2007-03-09",1.9016
"2007-03-10",2.2931
"2007-03-11",2.6337
"2007-03-12",3.0215
"2007-03-13",2.7814
"2007-03-14",2.7264
"2007-03-15",2.8001
"2007-03-16",3.3838
"2007-03-17",3.4261
"2007-03-18",3.0617
"2007-03-19",2.6354
"2007-03-20",1.6809
"2007-03-21",2.4058
"2007-03-22",2.5267
"2007-03-23",3.174
"2007-03-24",2.8605
"2007-03-25",2.8811
"2007-03-26",1.9342
"2007-03-27",1.3319
"2007-03-28",2.3261
"2007-03-29",2.589
"2007-03-30",2.7579
"2007-03-31",3.0251
"2007-04-01",2.7175
"2007-04-02",3.1428
"2007-04-03",3.1964
"2007-04-04",3.4038
"2007-04-05",2.357
"2007-04-06",3.2473
"2007-04-07",2.6929
"2007-04-08",2.9552
"2007-04-09",2.6191
"2007-04-10",2.5439
"2007-04-11",1.4438
"2007-04-12",2.1886
"2007-04-13",3.3305
"2007-04-14",1.3415
"2007-04-15",2.0534
"2007-04-16",3.8831
"2007-04-17",2.75
"2007-04-18",1.3767
"2007-04-19",1.2552
"2007-04-20",2.1227
"2007-04-21",1.5048
"2007-04-22",1.3911
"2007-04-23",2.6904
"2007-04-24",3.4012
"2007-04-25",2.9942
"2007-04-26",3.9483
"2007-04-27",4.2321
"2007-04-28",4.6491
"2007-04-29",4.5853
"2007-04-30",5.0178
"2007-05-01",4.61
"2007-05-02",1.5565
"2007-05-03",1.6257
"2007-05-04",1.7813
"2007-05-05",3.1377
"2007-05-06",4.2716
"2007-05-07",4.555
"2007-05-08",4.9765
"2007-05-09",5.2383
"2007-05-10",4.8747
"2007-05-11",4.914
"2007-05-12",4.7008
"2007-05-13",4.5396
"2007-05-14",5.217
"2007-05-15",4.6266
"2007-05-16",5.1025
"2007-05-17",5.3181
"2007-05-18",4.5088
"2007-05-19",4.8927
"2007-05-20",3.9298
"2007-05-21",4.174
"2007-05-22",4.3248
"2007-05-23",4.2517
"2007-05-24",4.3724
"2007-05-25",4.2482
"2007-05-26",4.826
"2007-05-27",5.2858
"2007-05-28",4.6236
"2007-05-29",5.1872
"2007-05-30",5.0935
"2007-05-31",4.2846
"2007-06-01",4.5695
"2007-06-02",5.1778
"2007-06-03",5.032
"2007-06-04",5.1636
"2007-06-05",2.9259
"2007-06-06",2.3174
"2007-06-07",4.2468
"2007-06-08",3.9251
"2007-06-09",4.6995
"2007-06-10",4.2186
"2007-06-11",4.3053
"2007-06-12",5.4186
"2007-06-13",5.3045
"2007-06-14",6.0239
"2007-06-15",5.9582
"2007-06-16",6.2556
"2007-06-17",5.2816
"2007-06-18",5.8457
"2007-06-19",5.7291
"2007-06-20",6.1524
"2007-06-21",6.1206
"2007-06-22",6.2918
"2007-06-23",6.4519
"2007-06-24",5.7443
"2007-06-25",4.8192
"2007-06-26",5.554
"2007-06-27",5.9974
"2007-06-28",5.8367
"2007-06-29",5.0443
"2007-06-30",5.8245
"2007-07-01",6.2568
"2007-07-02",5.9177
"2007-07-03",5.994
"2007-07-04",6.4606
"2007-07-05",6.4773
"2007-07-06",5.7936
"2007-07-07",6.0597
"2007-07-08",5.7801
"2007-07-09",5.8342
"2007-07-10",4.3902
"2007-07-11",3.6803
"2007-07-12",5.5656
"2007-07-13",5.9338
"2007-07-14",6.1715
"2007-07-15",6.0398
"2007-07-16",5.9852
"2007-07-17",5.565
"2007-07-18",3.7445
"2007-07-19",5.0494
"2007-07-20",5.5381
"2007-07-21",5.4254
"2007-07-22",5.9659
"2007-07-23",5.0256
"2007-07-24",4.5335
"2007-07-25",5.7609
"2007-07-26",6.1198
"2007-07-27",6.0666
"2007-07-28",6.0538
"2007-07-29",5.9919
"2007-07-30",5.9179
"2007-07-31",5.8707
"2007-08-01",5.0853
"2007-08-02",5.5021
"2007-08-03",6.1016
"2007-08-04",5.8492
"2007-08-05",5.6342
"2007-08-06",5.4085
"2007-08-07",4.8653
"2007-08-08",5.0184
"2007-08-09",5.3873
"2007-08-10",5.3388
"2007-08-11",5.5479
"2007-08-12",6.0449
"2007-08-13",5.8695
"2007-08-14",5.8138
"2007-08-15",5.555
"2007-08-16",5.8323
"2007-08-17",5.7422
"2007-08-18",5.8294
"2007-08-19",5.3174
"2007-08-20",5.2019
"2007-08-21",5.3462
"2007-08-22",5.1202
"2007-08-23",4.886
"2007-08-24",5.2946
"2007-08-25",5.7113
"2007-08-26",5.353
"2007-08-27",4.7861
"2007-08-28",3.9484
"2007-08-29",4.5435
"2007-08-30",4.1777
"2007-08-31",3.6563
"2007-09-01",4.8989
"2007-09-02",5.1513
"2007-09-03",5.701
"2007-09-04",5.1254
"2007-09-05",3.7579
"2007-09-06",4.4698
"2007-09-07",4.4803
"2007-09-08",4.3998
"2007-09-09",3.9968
"2007-09-10",4.554
"2007-09-11",4.4537
"2007-09-12",4.3374
"2007-09-13",4.2009
"2007-09-14",3.3105
"2007-09-15",3.6489
"2007-09-16",3.4389
"2007-09-17",3.1802
"2007-09-18",3.4575
"2007-09-19",3.162
"2007-09-20",2.294
"2007-09-21",3.3103
"2007-09-22",1.153
"2007-09-23",1.442
"2007-09-24",2.088
"2007-09-25",3.0829
"2007-09-26",3.2543
"2007-09-27",3.3597
"2007-09-28",2.5142
"2007-09-29",1.8902
"2007-09-30",3.4197
"2007-10-01",1.9506
"2007-10-02",3.1401
"2007-10-03",3.6891
"2007-10-04",2.5887
"2007-10-05",0.9525
"2007-10-06",2.0218
"2007-10-07",2.5858
"2007-10-08",3.0507
"2007-10-09",3.4189
"2007-10-10",1.2865
"2007-10-11",2.1239
"2007-10-12",1.0318
"2007-10-13",1.8651
"2007-10-14",2.4757
"2007-10-15",2.0111
"2007-10-16",1.1883
"2007-10-17",0.972
"2007-10-18",1.4246
"2007-10-19",1.3936
"2007-10-20",1.2353
"2007-10-21",2.0204
"2007-10-22",2.6388
"2007-10-23",2.5984
"2007-10-24",2.8416
"2007-10-25",2.6317
"2007-10-26",1.568
"2007-10-27",1.6418
"2007-10-28",1.6312
"2007-10-29",1.1054
"2007-10-30",0.7895
"2007-10-31",1.122
"2007-11-01",1.4188
"2007-11-02",1.6294
"2007-11-03",1.9668
"2007-11-04",1.8107
"2007-11-05",1.7403
"2007-11-06",1.8146
"2007-11-07",1.8554
"2007-11-08",1.6212
"2007-11-09",1.527
"2007-11-10",0.8308
"2007-11-11",0.8069
"2007-11-12",0.9724
"2007-11-13",0.9095
"2007-11-14",0.8605
"2007-11-15",1.7324
"2007-11-16",1.7798
"2007-11-17",1.6603
"2007-11-18",1.6929
"2007-11-19",0.9329
"2007-11-20",0.8351
"2007-11-21",1.1001
"2007-11-22",1.0466
"2007-11-23",1.4041
"2007-11-24",1.1288
"2007-11-25",0.9275
"2007-11-26",0.9094
"2007-11-27",1.0506
"2007-11-28",1.0278
"2007-11-29",1.6003
"2007-11-30",0.7751
"2007-12-01",0.725
"2007-12-02",1.4279
"2007-12-03",2.7282
"2007-12-04",0.641
"2007-12-05",0.72
"2007-12-06",0.3124
"2007-12-07",0.3341
"2007-12-08",0.4985
"2007-12-09",0.6023
"2007-12-10",0.7082
"2007-12-11",0.7445
"2007-12-12",0.3499
"2007-12-13",0.6247
"2007-12-14",0.6824
"2007-12-15",1.0087
"2007-12-16",1.0957
"2007-12-17",0.4652
"2007-12-18",0.4202
"2007-12-19",0.4938
"2007-12-20",0.5315
"2007-12-21",0.5784
"2007-12-22",0.5226
"2007-12-23",0.8324
"2007-12-24",0.7664
"2007-12-25",0.8625
"2007-12-26",0.6107
"2007-12-27",0.5121
"2007-12-28",0.4264
"2007-12-29",0.5698
"2007-12-30",0.6646
"2007-12-31",0.6312
"2008-01-01",0.6379
"2008-01-02",1.3333
"2008-01-03",1.914
